user_id,movie_id,rating,timestamp
1,tt0120623,3,2024-02-15
1,tt0359950,4,2024-02-15
1,tt1502397,5,2024-02-15
1,tt2172954,1,2024-02-15
1,tt0092007,2,2024-02-15
2,tt1502397,1,2024-02-15
2,tt0362270,2,2024-02-15
2,tt0079470,1,2024-02-15
2,tt0120623,4,2024-02-15
2,tt2488496,3,2024-02-15
3,tt8041270,3,2024-02-15
3,tt0118799,3,2024-02-15
3,tt4827558,3,2024-02-15
3,tt14513804,3,2024-02-15
3,tt2660888,5,2024-02-15
4,tt0369610,3,2024-02-15
4,tt4881806,1,2024-02-15
4,tt2660888,3,2024-02-15
4,tt0311113,5,2024-02-15
4,tt0120623,4,2024-02-15
5,tt5619332,4,2024-02-15
5,tt2709768,1,2024-02-15
5,tt4827558,5,2024-02-15
5,tt0118799,3,2024-02-15
5,tt2262227,3,2024-02-15
6,tt1462769,2,2024-02-15
6,tt2172954,3,2024-02-15
6,tt0079945,3,2024-02-15
6,tt2488496,1,2024-02-15
6,tt1502397,1,2024-02-15
7,tt14513804,4,2024-02-15
7,tt3748528,4,2024-02-15
7,tt1462769,1,2024-02-15
7,tt0044121,5,2024-02-15
7,tt0359950,3,2024-02-15
8,tt0079945,4,2024-02-15
8,tt12908150,1,2024-02-15
8,tt2262227,1,2024-02-15
8,tt0119567,2,2024-02-15
8,tt0446029,2,2024-02-15
9,tt0085959,4,2024-02-15
9,tt4827558,4,2024-02-15
9,tt0816711,4,2024-02-15
9,tt0480242,1,2024-02-15
9,tt0796366,5,2024-02-15
10,tt1055292,3,2024-02-15
10,tt2660888,5,2024-02-15
10,tt0044121,1,2024-02-15
10,tt1502397,3,2024-02-15
10,tt14513804,5,2024-02-15
11,tt4827558,1,2024-02-15
11,tt0119567,5,2024-02-15
11,tt0084726,3,2024-02-15
11,tt0228750,2,2024-02-15
11,tt0362270,3,2024-02-15
12,tt1055292,4,2024-02-15
12,tt0311113,1,2024-02-15
12,tt0088170,4,2024-02-15
12,tt31036941,1,2024-02-15
12,tt0079470,3,2024-02-15
13,tt0456912,5,2024-02-15
13,tt0446029,4,2024-02-15
13,tt14513804,2,2024-02-15
13,tt2488496,1,2024-02-15
13,tt0092007,2,2024-02-15
14,tt0085959,2,2024-02-15
14,tt1462769,1,2024-02-15
14,tt1055292,3,2024-02-15
14,tt4881806,5,2024-02-15
14,tt0816711,5,2024-02-15
15,tt0816711,5,2024-02-15
15,tt0119567,2,2024-02-15
15,tt0084726,5,2024-02-15
15,tt1055292,2,2024-02-15
15,tt3748528,1,2024-02-15
16,tt2660888,5,2024-02-15
16,tt3748528,3,2024-02-15
16,tt0796366,3,2024-02-15
16,tt2262227,3,2024-02-15
16,tt5113040,3,2024-02-15
17,tt1981115,2,2024-02-15
17,tt5113040,3,2024-02-15
17,tt2172954,3,2024-02-15
17,tt0118799,2,2024-02-15
17,tt4881806,5,2024-02-15
18,tt1981115,5,2024-02-15
18,tt5113040,4,2024-02-15
18,tt0123964,2,2024-02-15
18,tt4827558,5,2024-02-15
18,tt0369610,4,2024-02-15
19,tt0079945,5,2024-02-15
19,tt0362270,1,2024-02-15
19,tt4827558,3,2024-02-15
19,tt0311113,4,2024-02-15
19,tt3748528,3,2024-02-15
20,tt31036941,4,2024-02-15
20,tt2488496,2,2024-02-15
20,tt5442430,2,2024-02-15
20,tt0119535,4,2024-02-15
20,tt1408101,4,2024-02-15
